artist_name,spotify_link,mbid,country,method,track_used,tracks_tried,total_tracks_available,phase_used
Annihilator,https://open.spotify.com/artist/0L8QRAAuWjqvTM8FpQ1gYO,c30ebe30-514f-4e6d-823a-19adf0225a56,CA,step16_fallback_none,Alison Hell,1.0,10.0,1.0
Annorkoth,https://open.spotify.com/artist/4Cs4g40gGeDNS2ZNVmM1j6,1e84b7a8-2d03-475e-a0f2-515ffcefa2fa,RU,step16_fallback_none,You're My Only Dream,1.0,10.0,1.0
Anthrax,https://open.spotify.com/artist/3JysSUOyfVs1UQ0UaESheP,b616d6f0-ec1f-4c69-8a79-12a97ece7372,US,step16_fallback_none,Got The Time,1.0,10.0,1.0
Antichrist Siege Machine,https://open.spotify.com/artist/0g132bsggkLIMT0pW9aa7s,57f2bfc7-7e85-4c27-b6f5-44746198b338,US,step16_fallback_none,Sisera,1.0,10.0,1.0
Anvil,https://open.spotify.com/artist/0maNhqGx60ucjS4UaAH6cP,07a85e96-bb72-4930-b41d-24853f4a4ede,CA,step16_fallback_none,Metal On Metal,1.0,10.0,1.0
Apati,https://open.spotify.com/artist/5w28U6wo7RtZZjThxtxIyL,bcfa7d81-cedf-430c-898c-a8244d2ebf69,SE,step16_fallback_none,Morgondagen,1.0,10.0,1.0
Arch Enemy,https://open.spotify.com/artist/0DCw6lHkzh9t7f8Hb4Z0Sx,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,SE,step16_fallback_none,War Eternal,1.0,10.0,1.0
Archgoat,https://open.spotify.com/artist/3n2bgWmlyHgwnd9aPmnTM4,969710a8-0ac1-40b7-a22c-6072254e4214,FI,step16_fallback_none,Jesus Christ Father of Lies,1.0,10.0,1.0
Aria,https://open.spotify.com/artist/0ICn3Cbc4mMeLmTvwnqXYu,1f36a3a2-9687-4819-ac55-54d7ff0b8b88,RU,step16_fallback_none,Bespechnyy angel,10.0,10.0,2.0
Armored Saint,https://open.spotify.com/artist/4ug41UGuMZzlV2hJOrOqHN,8ac580bd-5b33-4ee3-83df-8d406908e300,US,step16_fallback_none,Can U Deliver,1.0,10.0,1.0
Arsis,https://open.spotify.com/artist/7j1diUTtFReVVJxSQG3veO,ae933d70-b1c7-4628-8631-9aa71a2c1b0e,US,step16_fallback_none,Overthrown,1.0,10.0,1.0
Artillery,https://open.spotify.com/artist/6N62Sla6F2uuEzNALo6720,bd7febcc-fa2c-498a-a48b-9cf2be54dfed,DK,step16_fallback_none,By Inheritance,1.0,10.0,1.0
As I Lay Dying,https://open.spotify.com/artist/2vd2HnNh4pdYa9gDVHFjEu,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,US,step16_fallback_none,My Own Grave,1.0,10.0,1.0
Ascended Dead,https://open.spotify.com/artist/5eAE0zR4YcmlcfyNeAVyEP,0b159139-cd34-424f-8b1f-9cc19a982f22,US,step16_fallback_none,Ungodly Death,1.0,10.0,1.0
Asphyx,https://open.spotify.com/artist/2eIvR1DzWm5GAufWC2rcGr,e1644bfd-a21f-427c-93ee-c8cec73bab82,NL,step16_fallback_none,Deathhammer,1.0,10.0,1.0
ASSAULT,https://open.spotify.com/artist/5uUZjNuCPiWDeFU6LoMlrE,d35a10bf-2e7f-4642-aaf4-015c6d081360,SG,step16_fallback_none,The Fallen Reich,1.0,10.0,1.0
At The Gates,https://open.spotify.com/artist/6YXarbjg36ODFPez0PnOlD,35f92c4a-69d0-4ed1-ab9e-05259db89d14,SE,step16_fallback_none,Slaughter Of The Soul,1.0,10.0,1.0
Atheist,https://open.spotify.com/artist/5QPy3HBn3AwzLEAQ8QeIo4,424f2349-f719-46c0-ab39-abbb4364d95f,US,step16_fallback_none,Mother Man,1.0,10.0,1.0
Atomkraft,https://open.spotify.com/artist/77sIR1VY06725rzAbF657L,f494bbe2-2dfd-4704-8a37-7642cfa2d2bb,GB,step16_fallback_none,Burn in Hell,1.0,10.0,1.0
Atrophy,https://open.spotify.com/artist/4wz92afc1nTCup8twv4bTA,23651172-708d-459c-84a9-87f104bae9bc,US,step16_fallback_none,Violent by Nature,1.0,10.0,1.0
Attacker,https://open.spotify.com/artist/1xUfcMarTKfum1EE0swabo,7cbb8888-b017-41b1-87a8-beb82ad297ea,US,step16_fallback_none,Lords Of Thunder,1.0,10.0,1.0
Attomica,https://open.spotify.com/artist/1gni4GCDSre0p0Oc4zrmEV,f5602c41-f29f-4b1d-800e-fb8a16884c31,BR,step16_fallback_none,Deathraiser,1.0,10.0,1.0
Auberon,https://open.spotify.com/artist/1LDMMf8lnSCBU588ZyjiRJ,be5f9772-329e-4617-8d81-56efffa7f416,SE,step16_fallback_none,Infinitive Beauty,1.0,10.0,1.0
Aurelian,https://open.spotify.com/artist/2IBxXtTUqPg3F36NKDIY0r,30c57bfb-c7cf-4216-95da-2ccee901bec0,US,step16_fallback_none,Battle of Medway,1.0,10.0,1.0
Aurora Borealis,https://open.spotify.com/artist/6OzXCWH8abO5qPzD09vmaU,4544b3d9-32b1-41d5-905f-ce6182a7d300,US,step16_fallback_none,A Gaze Into Everdark,1.0,10.0,1.0
Austere,https://open.spotify.com/artist/7gyVPCoE80rSyEW6yuJ6HM,f87a572c-b148-4e38-ab7e-a44d306f95ab,AU,step16_fallback_none,This Dreadful Emptiness,1.0,10.0,1.0
Autonoesis,https://open.spotify.com/artist/2gT6K6lpajAEHl086EZxWQ,21575a45-2a28-435c-83a5-dcbf6bafe561,CA,step16_fallback_none,Moon of Foul Magics,1.0,10.0,1.0
Autopsy,https://open.spotify.com/artist/6hR8mUd2yyHFazoCuweiIJ,1d097d38-d5ca-4cd4-9200-7f08eedd0875,US,step16_fallback_none,Charred Remains,1.0,10.0,1.0
Avantasia,https://open.spotify.com/artist/1Ih0fEQQsy9EeAJbYEeQRa,2ecbc483-dee4-442f-8ce7-f3ab31c73f87,DE,step16_fallback_none,Lay All Your Love On Me,1.0,10.0,1.0
Avmakt,https://open.spotify.com/artist/7fai0p75FkQVDUieoMZ1cH,3fb2b8b7-95fb-43cf-8336-10e5537ae910,NO,step16_fallback_none,Poison Reveal,1.0,6.0,1.0
AWS,https://open.spotify.com/artist/2I5ZkGFj7RYeIBjV4dFlWn,d16598bc-0fac-4c31-8647-578cc15875ce,HU,step16_fallback_none,Viszlát Nyár,1.0,10.0,1.0
Azaghal,https://open.spotify.com/artist/0kqafIf21Hks2EI9sSWywt,499d753e-aea0-417b-a9be-e77747999aae,FI,step16_fallback_none,Nemesis,1.0,10.0,1.0
Baphomet,https://open.spotify.com/artist/2ld55YGnn4rxOf3ukYLamp,ba7fad5f-4153-42c9-a815-5fbea468caae,US,step16_fallback_none,Streaks Of Blood,1.0,10.0,1.0
Barry J Gillis,https://open.spotify.com/artist/3H3lqPc9yFkrr9Ct78zEsw,,CA,step16_fallback_none,,,,
Bathory,https://open.spotify.com/artist/6rBvjnvdsRxFRSrq1StGOM,d292b4cd-37bd-4a88-a823-8710f273cc31,SE,step16_fallback_none,A Fine Day to Die,1.0,10.0,1.0
Be'lakor,https://open.spotify.com/artist/7qUcsMCdIHrs2LOZlmciQp,bc9ffd36-64be-4d41-8034-473f4b524159,AU,step16_fallback_none,Abeyance,1.0,10.0,1.0
Bear Mace,https://open.spotify.com/artist/7bpYbAeJkSr4R95J9nVtLm,9619cfc6-ae87-4852-82ee-b4e6cfab8dc9,US,step16_fallback_none,Slaves of the Wolf,1.0,10.0,1.0
Before The Dawn,https://open.spotify.com/artist/6L77qXFnXb7Tac7xzPa0Y7,0915e81d-e897-415c-b129-04dab2843240,FI,step16_fallback_none,Deathstar,1.0,10.0,1.0
Before The Rain,https://open.spotify.com/artist/4razy3wlCYJqk0mzeF2X7a,6764c9f6-ea14-40f7-83b9-7b15dea7b98d,PT,step16_fallback_none,You... My Ruin,1.0,10.0,1.0
Behemoth,https://open.spotify.com/artist/1MK0sGeyTNkbefYGj673e9,69632f9c-31eb-43d5-a864-e73ac72efc66,PL,step16_fallback_none,Ov Fire and the Void,1.0,10.0,1.0
Beherit,https://open.spotify.com/artist/3EHztVB0kFpqp0N8MlmD1X,65a8ee1c-20ef-4e2d-bf55-33a35bd7e644,FI,step16_fallback_none,Salomon's Gate,1.0,10.0,1.0
Behexen,https://open.spotify.com/artist/2A56suoU3YFYLIp7wHde6c,61494b89-a785-4c23-8402-de70cf7a9c76,FI,step16_fallback_none,Cave of the Dark Dreams,1.0,10.0,1.0
Belial,https://open.spotify.com/artist/3TrTSBxfdbW4DRRojiTGiG,536a9303-6345-42fa-8853-b0ebb0c59703,FI,step16_fallback_none,The Invocation,1.0,10.0,1.0
Belphegor,https://open.spotify.com/artist/1uPIYn2IU0IuPWSZ58kzyM,a41cc6b0-ff0c-4331-9add-907025607e95,AT,step16_fallback_none,Conjuring the Dead,1.0,10.0,1.0
Beneath Dying Skies,https://open.spotify.com/artist/3vCGStJOmWyrp2DKW6PUBu,,US,step16_fallback_none,,,,
Benediction,https://open.spotify.com/artist/1Lx9Dy5gi2OLlJBBs7GYO7,ae400a56-6d51-405b-af47-26a68713ccb3,GB,step16_fallback_none,Stormcrow,1.0,10.0,1.0
Berzerker Legion,https://open.spotify.com/artist/72MD4qOT5kUc5FMZ8eqxkX,30083182-e13a-4f74-aaa7-a5038453512b,XE,step16_fallback_none,Chaos Will Reign,1.0,10.0,1.0
Bestial Warlust,https://open.spotify.com/artist/4rSFcLPiHz1sNKwfS8Ld4M,bc35cb86-0b22-4872-93dd-c11dd7953a6c,AU,step16_fallback_none,Dwellers of the Bottomless Pit,1.0,10.0,1.0
Bhayanak Maut,https://open.spotify.com/artist/0A2ak1oh5iRbTxGJEh2Oma,f1311d20-46d3-4905-a529-5f3209360318,IN,step16_fallback_none,Ranti Nasha,1.0,10.0,1.0
Bitches Sin,https://open.spotify.com/artist/2JFzqHBpmyG5sii0vrnG1l,7cd242a0-8677-49ee-ad36-3c36a02f6254,GB,step16_fallback_none,Down The Road,1.0,10.0,1.0
Black Label Society,https://open.spotify.com/artist/0zfT626RwO6zN3RDYeRit5,a8e935c6-3fcc-414c-900c-77e8170e7e7c,US,step16_fallback_none,Rust,1.0,10.0,1.0
Black Sabbath,https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,GB,step16_fallback_none,Paranoid - 2009 Remaster,1.0,10.0,1.0
Blackbraid,https://open.spotify.com/artist/47nBZhrImXWXTWVSWt09MY,e3a90a6a-4121-4c75-97e4-89d4c217717b,US,step16_fallback_none,Wardrums at Dawn on the Day of my Death,1.0,10.0,1.0
Blasphemy,https://open.spotify.com/artist/6LjCtCPlOe8GkYz09XeQH5,28271102-2afe-4bbb-932c-65e4e4fc5462,CA,step16_fallback_none,Fallen Angel of Doom,1.0,10.0,1.0
Blind Guardian,https://open.spotify.com/artist/7jxJ25p0pPjk0MStloN6o6,7fa7fc04-1011-4876-8095-ecd232edea87,DE,step16_fallback_none,The Bard's Song - In the Forest - Remastered 2007,1.0,10.0,1.0
Blood Incantation,https://open.spotify.com/artist/6FGv87WQ3mJWn3cmLUww6x,a5f0f298-776a-4909-bc09-4fd56a680542,US,step16_fallback_none,The Stargate [Tablet I],1.0,10.0,1.0
Bloodstone,https://open.spotify.com/artist/6TtbBDsDBDBwx8X8PQPcai,3b6fd759-abf5-44a9-8162-3f8bb0103b0b,US,step16_fallback_none,Hellbound,8.0,10.0,1.0
Blut Aus Nord,https://open.spotify.com/artist/0c0xIXQhCbmtvzM93liaSf,c21db200-1f7c-4c23-b518-cf7fac6b8e85,FR,step16_fallback_none,Shadows Breathe First,1.0,10.0,1.0
Bodom After Midnight,https://open.spotify.com/artist/1pK4DWtAsZ6KSlIPwijXvG,6c1f44ff-4d9c-49a3-a1d0-a4d0f98543eb,FI,step16_fallback_none,Paint the Sky with Blood,1.0,3.0,1.0
Bolt Thrower,https://open.spotify.com/artist/3EbMlZ7ZKmFWPTHrLzpzvs,68bd8072-0412-44b1-81dd-807aa6c1918c,GB,step16_fallback_none,The Killchain,1.0,10.0,1.0
Bowden,https://open.spotify.com/artist/78Bolqw3k6zcGx6t6fI0Zw,12d20261-caa7-4326-b559-91bf643e31f2,SG,step16_fallback_none,Into Dhunwick Pass,5.0,10.0,1.0
Bruce Dickinson,https://open.spotify.com/artist/7Iffw1nP3NjCWkRIx3Ily9,50698127-f6f4-4c0c-8010-db98c21100e1,GB,step16_fallback_none,Tears of the Dragon - 2001 Remaster,1.0,10.0,1.0
Burn The Priest,https://open.spotify.com/artist/1PU8GCUJdAoWyWM9aL3bJI,b27c15ef-b146-41f4-b1ac-c8ac50713e8e,US,step16_fallback_none,Honey Bucket,1.0,10.0,1.0
Burzum,https://open.spotify.com/artist/7L6u6TyhjuwubrcojPeNgf,49cd96a6-42c3-44f6-ba2a-cd9301046b96,NO,step16_fallback_none,Dunkelheit,1.0,10.0,1.0
Cadaver,https://open.spotify.com/artist/3jXKuyWNGa8hUPsnrblyl7,7dd96f1c-6a5e-4abe-88cc-d135b9d923eb,NO,step16_fallback_none,Twisted Collapse - 2025,1.0,10.0,1.0
Caladan Brood,https://open.spotify.com/artist/3udPzKyXAkE0YeiK0zZNzv,7d1ca968-c7cc-4906-8372-89aba32682ff,US,step16_fallback_none,City of Azure Fire,1.0,6.0,1.0
Cancer,https://open.spotify.com/artist/3AHeQk97Bdz43qM7GMlXL8,84638ab0-46f0-4bd7-90e2-b1ebc573c65c,GB,step16_fallback_none,"Hung, Drawn and Quartered",1.0,10.0,1.0
Candlemass,https://open.spotify.com/artist/7zDtfSB0AOZWhpuAHZIOw5,7dba6614-d0bd-4950-8b7b-841b31c413c2,SE,step16_fallback_none,Solitude,1.0,10.0,1.0
Cannibal Corpse,https://open.spotify.com/artist/0yLwGBQiBqhXOvmTfH2A7n,af8e4cc5-ef54-458d-a194-7b210acf638f,US,step16_fallback_none,Hammer Smashed Face,1.0,10.0,1.0
Carcass,https://open.spotify.com/artist/5lhaM01nwvsMZpmPY2HVER,d50a4b89-ff1f-4659-9fde-f76f8d5b3c89,GB,step16_fallback_none,Black Star,1.0,10.0,1.0
Carnage Inc.,https://open.spotify.com/artist/5JRNhZeh7UJjrMBfDFJ8m3,,IN,step16_fallback_none,,,,
Carnivean,https://open.spotify.com/artist/2cptf0q4B7OOuepewvZ4PG,,US,step16_fallback_none,,,,
Carnivore,https://open.spotify.com/artist/0yL1k21OjFpQtWsHz9fxTN,1759d584-9919-4578-a106-51f2fa817076,US,step16_fallback_none,Male Supremacy,1.0,10.0,1.0
Casey Edwards,https://open.spotify.com/artist/1hGdQOfaZ5saQ6JWVuxVDZ,dd6aeb09-60b7-400d-b9e7-b1e5800bb84a,US,step16_fallback_none,Bury the Light,1.0,10.0,1.0
Catamenia,https://open.spotify.com/artist/5UViluSWA46D6qQcUFmWzT,b332473e-a39d-4b39-968a-635119a1de35,FI,step16_fallback_none,Blood Trails,1.0,10.0,1.0
Celtic Frost,https://open.spotify.com/artist/4ZISAmHmQUDCpv8xydqeKG,d91b3683-4622-4d72-8a03-80f1ff59e639,CH,step16_fallback_none,A Dying God Coming into Human Flesh,1.0,10.0,1.0
Cemetary,https://open.spotify.com/artist/45D40BXCeQOFCkYU8VunSq,99f7e667-e494-4485-8458-db3b763151c8,SE,step16_fallback_none,Sweet Tragedy,1.0,10.0,1.0
Cemetery Skyline,https://open.spotify.com/artist/3FVIkWmqjcUbtIgS86bnab,05a1a0e7-fb0d-4433-8f02-b23eb12e1ab3,FI,step16_fallback_none,Violent Storm,1.0,10.0,1.0
Cenotaph,https://open.spotify.com/artist/2epg0vHihPWPTNbXq8XqnI,68dd1a90-dc7b-4282-b84b-7602ba92c10d,MX,step16_fallback_none,Requiem For a Soul Request,2.0,10.0,1.0
Ceremonial Oath,https://open.spotify.com/artist/2YuLQaDe5q4bHEfv3r4Dv5,2d70eb28-9b5f-4d0b-97ea-31850b2e58d8,SE,step16_fallback_none,Dreamsong,1.0,10.0,1.0
Ceremonial Perfection,https://open.spotify.com/artist/2nXV9O4foqu0fcL5Ti1gBn,2681c7cf-6a49-436f-8a8d-ad93291c03e1,EE,step16_fallback_none,Symbols And Processes,1.0,9.0,1.0
Chariot,https://open.spotify.com/artist/6pp5z0t1YNfIRPIUb96UaO,2debc5f7-c1ce-4083-bbad-7f72df139696,GB,step16_fallback_none,Screams the Night,1.0,10.0,1.0
Chevalier,https://open.spotify.com/artist/7wEPicrW5P1ThSykLfqfxK,c089867c-cbcc-4fb6-b3d9-b850c5d5505f,FI,step16_fallback_none,Chevalier,1.0,10.0,1.0
Children Of Bodom,https://open.spotify.com/artist/1xUhNgw4eJDZfvumIpcz1B,f57e14e4-b030-467c-b202-539453f504ec,FI,step16_fallback_none,Are You Dead Yet?,1.0,10.0,1.0
Cirith Ungol,https://open.spotify.com/artist/2qOoh1ofQZoX9XMXglJDcR,c1341251-e2c7-4eae-989c-645f0c22487c,US,step16_fallback_none,Join the Leigon,1.0,10.0,1.0
Cisza,https://open.spotify.com/artist/6oRUpEspPEeQZgRqOEw7q5,a46ad67c-2176-4957-85b0-ea960bfe4003,PL,step16_fallback_none,Nosferatu,10.0,10.0,1.0
Cloud 9+,https://open.spotify.com/artist/5hVbHcC5ctooEtS9EfMuMP,d08c7a9f-5ba3-4966-9cda-63e38eaf6905,HU,step16_fallback_none,Sasquatch,4.0,10.0,1.0
Cloven Hoof,https://open.spotify.com/artist/3OD7fkHK24rI5G6yoaHzmw,dfc69b1e-94b8-4b45-8cf2-04d388c74677,GB,step16_fallback_none,Call of the Dark Ones,1.0,10.0,1.0
Coffin Rot,https://open.spotify.com/artist/6qKbKPLxqnwibapg6P3Fhs,671a1fbf-77d1-4572-b4ea-e364767418eb,US,step16_fallback_none,Saw Blade Suicide,1.0,10.0,1.0
Conqueror,https://open.spotify.com/artist/25buoCetpea12VOEN0KL0p,d2380e2d-b51d-4ced-9c18-1d348895a187,CA,step16_fallback_none,Infinite Majesty,1.0,10.0,1.0
Coroner,https://open.spotify.com/artist/7lfdXL6PuTM5iWJNvI7PPV,509dc5b1-f264-43f3-9035-473e7020e77f,CH,step16_fallback_none,Consequence,1.0,10.0,1.0
Creed,https://open.spotify.com/artist/43sZBwHjahUvgbx1WNIkIz,4b1a830b-0a1f-42e5-b8d5-1d6743912e99,US,step16_fallback_none,One Last Breath,1.0,10.0,1.0
Crimson Glory,https://open.spotify.com/artist/2B73nUiRlcSwjTyVaIAwhR,83560efc-3ead-446a-9652-02476a5f18c3,US,step16_fallback_none,Valhalla,1.0,10.0,1.0
Crimson Moonlight,https://open.spotify.com/artist/3BK5u7xOPJU8ERq8w27hnk,025cb373-b02f-48ea-b923-a0087c8e8bfc,SE,step16_fallback_none,The Dogma of Chalcedon,1.0,10.0,1.0
Crisix,https://open.spotify.com/artist/3xGTWSIlxvBUSaKs8hCA9s,461d1995-9bd7-4332-9d54-dbbce5af9763,ES,step16_fallback_none,Ultra Thrash,1.0,10.0,1.0
Critical Defiance,https://open.spotify.com/artist/1kJqLOyTYiVO6Yc5vDFQbn,0d67e011-5b62-4cce-894f-37a5591aecd6,CL,step16_fallback_none,Desert Ways,1.0,10.0,1.0
Crowbar,https://open.spotify.com/artist/3xtIpqzIOfQUxKce8BU4Ka,04fc15f9-2555-4699-9215-2ee6c84a2346,US,step16_fallback_none,REPULSIVE IN ITS SPLENDID BEAUTY,1.0,10.0,1.0
Crypta,https://open.spotify.com/artist/0w1xNkvjKVskWP7GvbiwRB,3b5bc4eb-d60e-406c-a5e4-f08197d4c9de,BR,step16_fallback_none,Lord of Ruins,1.0,10.0,1.0
Cryptopsy,https://open.spotify.com/artist/29PgYwTelpNl6370XLqFtN,756af95c-8793-4546-a93f-f3581b5b1c8d,CA,step16_fallback_none,Slit Your Guts,1.0,10.0,1.0
