artist_name,spotify_link,mbid,country,method,track_used,tracks_tried,total_tracks_available,phase_used
Cyhra,https://open.spotify.com/artist/6tkhw6PSVw7b2M7h5fLBLE,5744e5e0-b019-4c72-b9ed-58437e37937b,SE,step16_fallback_none,Dreams Gone Wrong,1.0,10.0,1.0
Damageplan,https://open.spotify.com/artist/4fE4Bf0MM6lMJpHiHniPuW,fdd1f131-4bae-456b-8bb1-c132d2af8e6c,US,step16_fallback_none,Pride,1.0,10.0,1.0
Dan Swanö,https://open.spotify.com/artist/29S5Wdq7vN7hY5qZGCuj8E,6249eb48-57be-4e3c-b079-61e66452d0df,SE,step16_fallback_none,Uncreation,1.0,10.0,1.0
Dark Age,https://open.spotify.com/artist/3sGSAsGVri6nI4AnyvMoGD,ec638d1f-2bfe-45c6-a423-c1132bee04a0,DE,step16_fallback_none,Outside the Inside,1.0,10.0,1.0
Dark Angel,https://open.spotify.com/artist/0RFQyVQGVcECxnuSLvEKxV,1dd1f238-839c-4609-9bcb-5f866c82b3e8,US,step16_fallback_none,Darkness Descends,1.0,10.0,1.0
Dark Fortress,https://open.spotify.com/artist/0hiccXRDVXl9sOZ4R7aNry,5074ddf4-3d57-49d9-a0b8-c36afe60a475,DE,step16_fallback_none,Ylem,1.0,10.0,1.0
Dark Funeral,https://open.spotify.com/artist/21ojeH5LNADIGzJKc3hIlE,7561ff6c-2ab7-4776-9a9a-662f23b2effc,SE,step16_fallback_none,Unchain My Soul,1.0,10.0,1.0
Dark Oath,https://open.spotify.com/artist/3Oc3JnQKIW7ZNPXS0yf6QV,786b58de-d4db-4572-88c6-bdfffb0b4b8c,PT,step16_fallback_none,Silver II (Life of Sorrow and Pain),1.0,10.0,1.0
Dark The Suns,https://open.spotify.com/artist/7ldEIhfppQqruChWjVKgeE,1c7e614f-138e-4cfd-a314-139d41627a29,FI,step16_fallback_none,The Sleeping Beauty,1.0,10.0,1.0
Dark Tranquillity,https://open.spotify.com/artist/5EHvXKnNz78jkAVgTQLQ5O,9d30e408-1559-448b-b491-2f8de1583ccf,SE,step16_fallback_none,Atoma,1.0,10.0,1.0
Darkenhöld,https://open.spotify.com/artist/4VBynsh51sK4ydQMxokidg,b9d357b7-cbe8-43ac-87dd-7d602028fedb,FR,step16_fallback_none,Codex de la Chevalerie,1.0,10.0,1.0
Darkthrone,https://open.spotify.com/artist/7kWnE981vITXDnAD2cZmCV,af8fd97c-db72-4e30-b2aa-30ebd0c4f1a0,NO,step16_fallback_none,Transilvanian Hunger - Studio,1.0,10.0,1.0
Dawn,https://open.spotify.com/artist/26QI3eOxUdcWfTwEGJyslB,d54d92ca-bf64-4730-bc86-32624e04747d,SE,step16_fallback_none,The Knell and the World,1.0,10.0,1.0
Dawn Of Solace,https://open.spotify.com/artist/7anjHetVbdSelRpDsZzWY7,59a86277-44a0-4e69-b784-77b93f35c1fe,FI,step16_fallback_none,Lead Wings,1.0,10.0,1.0
Dead Congregation,https://open.spotify.com/artist/5PBErxkQsE0lzNQPrn5oK3,0dd3b052-3169-4b24-9327-b59d16c3de63,GR,step16_fallback_none,Promulgation of the Fall,1.0,10.0,1.0
Deafheaven,https://open.spotify.com/artist/4XpPveeg7RuYS3CgLo75t9,f4ccf6c5-ad41-4f8f-bb9e-6e2c6ad23302,US,step16_fallback_none,Heathen,1.0,10.0,1.0
Deals Death,https://open.spotify.com/artist/4uPWvwgl5qwMLqyUSZPhnv,5548e42c-7a0a-4b61-8df1-c446ffbf0eb4,SE,step16_fallback_none,Fortified,1.0,10.0,1.0
Death,https://open.spotify.com/artist/4f5V3PQ66nIrBCqugJtaGn,dbb3b771-ae77-4381-b61c-758b5b7898ec,US,step16_fallback_none,Voice of the Soul,1.0,10.0,1.0
Death Angel,https://open.spotify.com/artist/6KVc8Llznru8n9LVCYe9dz,562ff334-c34f-45b0-a519-e5d171482df2,US,step16_fallback_none,The Moth,1.0,10.0,1.0
DEATHGAZE,https://open.spotify.com/artist/7hWHELwA3bm9v44RgmJIa8,533f085c-aa28-4a71-8ba5-ee1a78ce1574,JP,step16_fallback_none,BLOOD,1.0,10.0,1.0
Deathrow,https://open.spotify.com/artist/2c6g38sOGvk1IRDLQt8k5H,c98b4510-9986-4503-9f18-43e243e952d1,DE,step16_fallback_none,Raging Steel - 2018 Remaster,1.0,10.0,1.0
Deathrow,https://open.spotify.com/artist/54yltjxvstyQlmlpjoH9yS,c98b4510-9986-4503-9f18-43e243e952d1,DE,step16_fallback_none,Raging Steel (2018 Remaster),1.0,10.0,1.0
Deathspell Omega,https://open.spotify.com/artist/4pP3Gtdmwp2cHtz736pyGI,37ea73dd-a48c-4659-8b9d-5c77bd9cbd12,FR,step16_fallback_none,Apokatastasis Pantôn,1.0,10.0,1.0
Decameron,https://open.spotify.com/artist/6b8Lz3yKIlqTUbH6zVKTZ6,96cd3941-3262-4a09-bd51-ba7a182a6330,SE,step16_fallback_none,Carpe Nocem,1.0,10.0,1.0
Decapitated,https://open.spotify.com/artist/17MbhJOaaPHuWnRaWU9xkc,bfef61c6-53c0-4a12-9a42-1411111e7402,PL,step16_fallback_none,Iconoclast,1.0,10.0,1.0
Deceased...,https://open.spotify.com/artist/2nJopqKVXGa0RHy0t3DypB,d1e50d68-d5e4-4725-a4d2-11fdbb3e64fa,US,step16_fallback_none,Fading Survival,1.0,10.0,1.0
Decrepit Birth,https://open.spotify.com/artist/4Nlrw2bbsgaWH2qR3cBxeN,4bde96f1-3813-4169-afd1-949f06feb890,US,step16_fallback_none,Sea of Memories,1.0,10.0,1.0
Defaced Creation,https://open.spotify.com/artist/2eskZhlfI0YK3KUCYhxACv,d4085e6b-ea96-4a60-a510-73967bcdc929,SE,step16_fallback_none,Baptised in Fire,1.0,10.0,1.0
Defleshed,https://open.spotify.com/artist/213LVImPkyKRbtskA6q7P8,df149e57-9f10-4a77-8421-aa04baa8ece7,SE,step16_fallback_none,Grind over Matter,2.0,10.0,1.0
Dehumanized,https://open.spotify.com/artist/0SPiQivk0SEZIQSzz0uBEC,61387ac2-27a9-4054-8e37-34b8867f54f0,US,step16_fallback_none,Fade into Obscurity,1.0,10.0,1.0
Deicide,https://open.spotify.com/artist/2K3GorTixXKAiwe2t9lO89,0bd96fa4-9835-49b0-a1f2-7421e6a79dfa,US,step16_fallback_none,Once Upon the Cross,1.0,10.0,1.0
Delain,https://open.spotify.com/artist/6pIRdCtSE5hLFfIfcTAicI,3b0e8f01-3fd9-4104-9532-1e4b526ce562,NL,step16_fallback_none,Moth to a Flame,1.0,10.0,1.0
Demolition Hammer,https://open.spotify.com/artist/08f6MNQouECEKggLSLEBRQ,c4803d34-7cc1-4dfc-bdf2-335b29ffbaa5,US,step16_fallback_none,.44 Caliber Brain Surgery,1.0,10.0,1.0
Demon Hunter,https://open.spotify.com/artist/6f3a43i1MJZwdjEpV1M0oH,73fe4a37-6860-4bb5-b3ec-0d0c367900ea,US,step16_fallback_none,Sorrow Light The Way,1.0,10.0,1.0
Demoniac,https://open.spotify.com/artist/5YPIW1A0jVbjdZNddWwgvT,2fc940fe-65e6-4c0b-a23a-43298a76f362,NZ,step16_fallback_none,Demons Of The Night,1.0,10.0,1.0
Demonic Resurrection,https://open.spotify.com/artist/2GCpuk3Q5OmmC2PSmCEec0,0abf5f4e-f9bc-45b2-9e61-88689334637f,IN,step16_fallback_none,Buddha: The Teacher,1.0,10.0,1.0
Depresy,https://open.spotify.com/artist/0oWMF4oKXtc21eKtFChYcx,de3bbf5d-f124-4651-89ee-5aaee55108a6,SK,step16_fallback_none,Unpure Romanticism - part 1. The Alchemy of Eternity,1.0,10.0,1.0
Deserted Fear,https://open.spotify.com/artist/3CDoiu519MbxFWcwRFH7cH,6df8c070-94a5-4349-ba6a-a1b2a326e0e1,DE,step16_fallback_none,The Carnage,1.0,10.0,1.0
Destruction,https://open.spotify.com/artist/5d6KI8frPEo3qGsIL8Sak2,371f152d-1643-4b54-b32b-dd13d4c23442,DE,step16_fallback_none,Thrash Till Death,1.0,10.0,1.0
Desultory,https://open.spotify.com/artist/0VKUUAay11ccEIPryHf4tf,7a2829b9-1b95-47f9-b08f-6f5e37d55738,SE,step16_fallback_none,The Chill Within,1.0,10.0,1.0
Deus Ex Machina,https://open.spotify.com/artist/7qo5OfIlGa7JFB5nu6yqQ1,c00cb1d9-a8fc-4647-9aa5-04fd0e93b102,SG,step16_fallback_none,State Of The...,1.0,10.0,1.0
Devastation,https://open.spotify.com/artist/7I6gRyC8ImT4lrkP5HiGu3,f052729b-c386-4d02-bf48-d4eec3492b59,US,step16_fallback_none,Deliver the Suffering,1.0,10.0,1.0
Devin Townsend Project,https://open.spotify.com/artist/54Xuca1P5nDqfKYZGDfHxl,b00cb756-0259-4a50-bbcb-ad22186c5518,CA,step16_fallback_none,Kingdom,1.0,10.0,1.0
Diamond Head,https://open.spotify.com/artist/3z3KnhKZObj216IgfHYGVf,d3dd86df-2f57-4a97-8100-d09915343f60,GB,step16_fallback_none,Am I Evil,1.0,10.0,1.0
Dimension Zero,https://open.spotify.com/artist/0TJPmlLkB4fZJATbCDpaBv,593e5825-e5c5-4f85-94a4-fb181d4201bf,SE,step16_fallback_none,Hell Is Within,1.0,10.0,1.0
Dimmu Borgir,https://open.spotify.com/artist/6e8ISIsI7UQZPyEorefAhK,17167af8-c1da-45cc-bba2-9d23f068b7a3,NO,step16_fallback_none,Progenies of the Great Apocalypse,1.0,10.0,1.0
Dio,https://open.spotify.com/artist/3UyoMrj8FAQDE8DrNbTju6,c55193fb-f5d2-4839-a263-4c044fca1456,US,step16_fallback_none,Holy Diver,1.0,10.0,1.0
Dio,https://open.spotify.com/artist/4CYeVo5iZbtYGBN4Isc3n6,c55193fb-f5d2-4839-a263-4c044fca1456,US,step16_fallback_none,Holy Diver,1.0,10.0,1.0
Diocletian,https://open.spotify.com/artist/6kEQuZgj4hm2mE2ZfZ6mcD,e6318126-0844-4214-a5f7-c676064fc653,NZ,step16_fallback_none,Wretched Sons,1.0,10.0,1.0
Disarmonia Mundi,https://open.spotify.com/artist/0iem9JStyv56PV2X7avZbo,abaa4af5-be79-4456-86f4-0554939aeaa3,IT,step16_fallback_none,Celestial Furnace,1.0,10.0,1.0
Disgrace,https://open.spotify.com/artist/5lApUpJTUahKMPU3mxzFkM,52aed436-011a-4e92-897b-e5a8fe99b0c6,FI,step16_fallback_none,My Dark Paradise,1.0,10.0,1.0
Disillusion,https://open.spotify.com/artist/0WB89hYs9ZY6HpuK59lJIQ,67349203-0c02-48d9-a0ac-4ff40bac0905,DE,step16_fallback_none,Alea,1.0,10.0,1.0
Disincarnate,https://open.spotify.com/artist/2lpc8w2VRTLNII29VI5pDa,a9424175-8b06-44ad-a1f4-319e92a50879,US,step16_fallback_none,Stench of Paradise Burning,1.0,10.0,1.0
Dismember,https://open.spotify.com/artist/09OwM7iXyoFAOzQUlWeDgB,49c15d5f-469e-469c-ae94-89e8d31106dd,SE,step16_fallback_none,Override Of The Overture,1.0,10.0,1.0
Dissection,https://open.spotify.com/artist/6qpmcQfxhmNxNMCJUrpHwe,92d48f3d-a9cb-4011-a002-2e9ac3a6843d,SE,step16_fallback_none,Where Dead Angels Lie,1.0,10.0,1.0
Division Speed,https://open.spotify.com/artist/6WAaMf4VDDWBsWM65Vyls5,6099c497-5eff-4ab7-9205-c42b18056730,DE,step16_fallback_none,Panzerkommando,1.0,10.0,1.0
Doldrey,https://open.spotify.com/artist/1K3WQX7JJBeMFUEub4evm7,ae2b9a62-6055-4899-affb-1722bd743f45,SG,step16_fallback_none,All Is Hell,1.0,10.0,1.0
Draconian,https://open.spotify.com/artist/1TX9g1uSl0B0DQIE9lBqmU,54d76201-3b30-4722-978f-2abdd62e88dd,SE,step16_fallback_none,Rivers Between Us,1.0,10.0,1.0
Draconis Infernum,https://open.spotify.com/artist/3zM8Pqw5Zs0Q5m38GKyL2d,8547d12d-e63d-4d9f-99db-19aa85e591f7,SG,step16_fallback_none,Rites of Desecration & Demise,1.0,10.0,1.0
Draugveil,https://open.spotify.com/artist/1GCVDmR6dctCeoPoOMtqI7,deefd906-9918-476f-923e-9836368876c2,CZ,step16_fallback_none,Knight Without a Name,1.0,10.0,1.0
Drawn & Quartered,https://open.spotify.com/artist/4jlcNzFcMcpogfpyoaXFyt,d866ef3c-dc96-46dc-9464-40d4ad9a4f92,US,step16_fallback_none,Embrace of Darkness,1.0,10.0,1.0
Drudkh,https://open.spotify.com/artist/4q5mj9YpaYesKvHzN8XYve,469eb232-7163-47a8-96a3-8c82d24b2888,UA,step16_fallback_none,Glare of Autumn - Відблиски Осені,2.0,10.0,1.0
Dungeon Serpent,https://open.spotify.com/artist/6uU1bSckSViXzltvf9xpYX,1a36baa0-bc13-4904-a123-a84518c1be78,CA,step16_fallback_none,Necroscope,1.0,6.0,1.0
Dying Fetus,https://open.spotify.com/artist/2DqzOWVL2ly48IA9bpZdie,f76167bb-c117-4022-8b6b-54c796edf5c9,US,step16_fallback_none,Grotesque Impalement,1.0,10.0,1.0
Dödsrit,https://open.spotify.com/artist/1ZR1y4fCztcaoliwAIbEAb,abe22f89-a3e2-46d8-8a06-dd728970c67f,SE,step16_fallback_none,Irjala,1.0,10.0,1.0
Edge Of Sanity,https://open.spotify.com/artist/1Mcy1ngqEXUXXEQEpUDGix,82d1972f-f815-480d-ba78-9873b799bdd1,SE,step16_fallback_none,"Crimson, Pt. 1",1.0,10.0,1.0
Edguy,https://open.spotify.com/artist/3AGFqPP3gt5rMSvhR87Xxu,83998f9c-846b-4294-aede-d7735531c901,DE,step16_fallback_none,King Of Fools - Edit Version,1.0,10.0,1.0
Electric Wizard,https://open.spotify.com/artist/4htjQW3lgIwL6fEJlTOez4,da7d57e6-0619-4f0f-8d15-d0b4195c3f55,GB,step16_fallback_none,Funeralopolis - 2004 Remaster,1.0,10.0,1.0
Electrocution,https://open.spotify.com/artist/1Uty4shaILLI4bSDR0x6Zr,3b22399f-fb1b-497c-ae21-f62b99baf3d7,IT,step16_fallback_none,Premature Burial,1.0,10.0,1.0
Eluveitie,https://open.spotify.com/artist/5X0N2k3qMnI8kSrGJT3kfT,8000598a-5edb-401c-8e6d-36b167feaf38,CH,step16_fallback_none,The Call of the Mountains,1.0,10.0,1.0
Emperor,https://open.spotify.com/artist/6jPWrSmxOd9mj7Xaj4EP2Y,d9951785-7906-4daf-9a60-21753bf64aa9,NO,step16_fallback_none,I Am The Black Wizards,1.0,10.0,1.0
Emyn Muil,https://open.spotify.com/artist/3eX7QMrVIouWVnZjWkMq8u,34d3fc32-616b-45e5-99e3-70ddec19000e,IT,step16_fallback_none,Turin Son of Hurin,1.0,10.0,1.0
Enforced,https://open.spotify.com/artist/7vZV2UPiXQMVesiAxQmvBp,ee7c0013-039b-43c6-a956-81d8ad3b9605,US,step16_fallback_none,Hanged by My Hand,1.0,10.0,1.0
Enforcer,https://open.spotify.com/artist/6nQ7NZbr43lnKpLYBvLf7A,7693ec92-05d7-40af-a686-513bc24c7e11,SE,step16_fallback_none,Undying Evil,1.0,10.0,1.0
Enisum,https://open.spotify.com/artist/0NnzRoaRPWmhsKWgo5AN9l,babbf478-8160-42bd-b484-e8e044c565d9,IT,step16_fallback_none,Chiusella's Waters - Original Mix,1.0,10.0,1.0
Enshine,https://open.spotify.com/artist/1arVCqhiz6dQgWcYrT3MY8,31931e5b-be5a-4462-9c19-5b616547f99e,XE,step16_fallback_none,Dual Existence,1.0,10.0,1.0
Ensiferum,https://open.spotify.com/artist/0krXCIkthz13P8o0v2tksH,6e64cbfa-1a60-450e-81f4-c044c868ab24,FI,step16_fallback_none,In My Sword I Trust,1.0,10.0,1.0
Enslaved,https://open.spotify.com/artist/2HmtB6wVRRi3z0JwZHtkiD,29bb04d6-5602-464c-8577-f55a27511b27,NO,step16_fallback_none,What Else Is There - Bonus Version,1.0,10.0,1.0
Enthroned,https://open.spotify.com/artist/5lmT6zZl7aPNg8hv5UrJGz,0be59867-0da4-4e45-9b64-728cdf25487c,BE,step16_fallback_none,Crawling Temples,1.0,10.0,1.0
Entombed,https://open.spotify.com/artist/2pnezMcaiTHfGmgmGQjLsB,61b99cc4-06cd-4ad5-9bac-950b2daef9cc,SE,step16_fallback_none,Left Hand Path,1.0,10.0,1.0
Epica,https://open.spotify.com/artist/5HA5aLY3jJV7eimXWkRBBp,21985b14-1b0d-44fe-b357-310b29bba510,NL,step16_fallback_none,"Cry for the Moon (The Embrace That Smothers , Pt. 4)",1.0,10.0,1.0
Eternal Tears Of Sorrow,https://open.spotify.com/artist/3rdFnKhyWhTivuBFSH4YT3,8b46a7e4-704d-4f8d-973a-a0ab8ea8249b,FI,step16_fallback_none,The River Flows Frozen,1.0,10.0,1.0
Eucharist,https://open.spotify.com/artist/0EXs3fkjKhZtElrfhuWShN,c0eb58e1-efc5-4930-b579-58a24f9e86d5,SE,step16_fallback_none,Dissolving - 1997,1.0,10.0,1.0
Evildead,https://open.spotify.com/artist/0A97olVepqtH6CCUoSaGEl,94b0f334-d644-489b-878d-b6873d11d01a,US,step16_fallback_none,Raising Fresh Hell,1.0,10.0,1.0
Evile,https://open.spotify.com/artist/1dwrMJAKBiLlj0O4R791Xo,5540499f-8ab5-404f-a781-e959b1dc2778,GB,step16_fallback_none,Thrasher,1.0,10.0,1.0
Exarsis,https://open.spotify.com/artist/4R3PaR5QCSRtxsN6oj2OsJ,e07f8788-9fa0-4a88-b2bf-6180e8d7dae9,GR,step16_fallback_none,Under Destruction,1.0,10.0,1.0
Exciter,https://open.spotify.com/artist/1jH2JkQvdH6R63yORA8GTd,0fa1e771-9aa6-49fe-82b7-d5ea09f33519,CA,step16_fallback_none,Heavy Metal Maniac,1.0,10.0,1.0
Exhorder,https://open.spotify.com/artist/5kuYamMO00pHPdRQcAXWTl,0884d73a-39f8-4e3f-b1c2-b7344e031283,US,step16_fallback_none,My Time,1.0,10.0,1.0
Exhumation,https://open.spotify.com/artist/52lGWY47cz7PrnYJdWkPWJ,8e9d6757-66b5-4613-b04e-b17d312a58d9,GR,step16_fallback_none,Territory,1.0,10.0,1.0
Exodus,https://open.spotify.com/artist/76S65NHJHrNy4JTrXHP2BH,18e9bfd5-db23-4bc1-be0f-5710e5d656e4,US,step16_fallback_none,Blacklist,1.0,10.0,1.0
Exumer,https://open.spotify.com/artist/03sDKsD3y34NBAjeRHucde,ba4b6e1e-30bd-4f9c-a140-21ee1db6d710,DE,step16_fallback_none,Possessed by Fire,1.0,10.0,1.0
Falconer,https://open.spotify.com/artist/1UKdnbreQFDmPg3Mhcjhkr,342e72d6-e350-42c4-814a-3fe1801e65f5,SE,step16_fallback_none,Mindtraveller,1.0,10.0,1.0
Falkenbach,https://open.spotify.com/artist/2RyAx3MPzx4ESZOJOod2Hj,533ee016-4a2d-40cd-9ae4-9e3923a63872,DE,step16_fallback_none,Eweroun,1.0,10.0,1.0
Fates Warning,https://open.spotify.com/artist/4S6URhg3PMKnCv9clR4ejE,17fbada3-6dac-42f3-8a6c-8c1c1484f730,US,step16_fallback_none,Eye to Eye,1.0,10.0,1.0
Fear Of Domination,https://open.spotify.com/artist/4KmUqzBGTHWlO46RpvMBUq,10045d18-3297-425e-a33a-5bf51ce25c5d,FI,step16_fallback_none,Sick and Beautiful,1.0,10.0,1.0
Feradur,https://open.spotify.com/artist/2NlVLSpkL2NyRnqApgRPkL,89609a8c-d227-41f1-b623-e34dbbdda554,LU,step16_fallback_none,Host Of The Nightmare,1.0,10.0,1.0
Fleshgod Apocalypse,https://open.spotify.com/artist/5ctFffJBdJe8PZL7W7NeML,48cb4248-889d-45ed-8462-acb29c002a8d,IT,step16_fallback_none,The Fool,1.0,10.0,1.0
Flotsam & Jetsam,https://open.spotify.com/artist/1ApBh0VSoxRjjT3kFQZrpz,7448d493-0b9d-4057-9a50-bf2bd096d961,US,step16_fallback_none,Hammerhead,1.0,10.0,1.0
Forbidden,https://open.spotify.com/artist/5MhPZVXE28sD9rXE3GU1uN,e7df158d-1895-400d-919e-dc0a93e13c16,US,step16_fallback_none,Through Eyes of Glass,1.0,10.0,1.0
Free Dominguez,https://open.spotify.com/artist/15F1IbwHnVU0n3elJo2V8o,cdb8e895-ed5f-4b13-b286-8a0cfc7c21e7,US,step16_fallback_none,A Stranger I Remain - Maniac Agenda Mix,1.0,10.0,1.0
Frozen Dawn,https://open.spotify.com/artist/1Nzhc8q6fxlcJyH1bGZhLv,1b38e8cc-361c-4e7c-b7a7-55ad3ac6b6a5,ES,step16_fallback_none,Frozen Kings,1.0,10.0,1.0
Fugitive,https://open.spotify.com/artist/5Gn20zEvjiNUyQUIaItAlL,68394ab3-1969-4e8c-acc7-2c7fac30fbd1,US,step16_fallback_none,Blast Furnace,1.0,8.0,1.0
Funerus,https://open.spotify.com/artist/1fJiWcwDA8ENkewGrPrxFW,386991ff-430c-4aca-af4d-284760c68f0e,US,step16_fallback_none,Behind the Door,1.0,10.0,1.0
Garden Of Shadows,https://open.spotify.com/artist/4iqNfe8W0nP9pEjLjljqEV,845c3abd-4066-4332-b99b-d8e0323b2f45,US,step16_fallback_none,Citadel Of Dreams,1.0,7.0,1.0
Gardenian,https://open.spotify.com/artist/5gRNdNM20qMNBoUOb1BhCN,ff6b03b8-116b-4a15-9185-0630a15e7b75,SE,step16_fallback_none,Two Feet Stand,1.0,10.0,1.0
Gatecreeper,https://open.spotify.com/artist/0eCB2pwtPnLywA4rxe4i4N,69a16532-cdc2-459b-8f7a-7793583d7290,US,step16_fallback_none,Caught in the Treads,1.0,10.0,1.0
Gates of Doom,https://open.spotify.com/artist/2WVmuKQAtcQDgQuMpr3Kmy,5b0612f4-23d0-4e7b-bfda-69a88e2e65da,IT,step16_fallback_none,Sulcus Primigenius / Under The Sign Of The Eagle,1.0,10.0,1.0
Gates of Ishtar,https://open.spotify.com/artist/257fj7lr05pM5LMDL6TUp7,56507280-58e5-4a3a-8c40-1cd1062ea0b9,SE,step16_fallback_none,Battles To Come - remastered 2016,1.0,10.0,1.0
Gehenna,https://open.spotify.com/artist/3w4WGYze63IoclVTBW3WYn,50aaf1dc-2528-4d34-b4a1-262b9b959751,NO,step16_fallback_none,The Shivering Voice of the Ghost,1.0,10.0,1.0
Germ,https://open.spotify.com/artist/4TAsfx1k9THCqwZdmT7DCE,f5771dc9-7ad4-4b7f-946b-413d5bbaa00d,AU,step16_fallback_none,Butterfly,1.0,10.0,1.0
God Seed,https://open.spotify.com/artist/05GBaOW7XQa35Won0gh8jH,ce8cc6cf-8013-471a-a37d-257ef7428cfb,NO,step16_fallback_none,Sign of an Open Eye (Live),1.0,10.0,1.0
Gojira,https://open.spotify.com/artist/0GDGKpJFhVpcjIGF8N6Ewt,1c5efd53-d6b6-4d63-9d22-a15025cf5f07,FR,step16_fallback_none,Stranded,1.0,10.0,1.0
Gorement,https://open.spotify.com/artist/2GveXCWN5H6EScYefcSZnT,c347aaed-69ba-4eae-8af8-f67a5a03e1e3,SE,step16_fallback_none,My Ending Quest - remastered 2012,1.0,10.0,1.0
Gorgoroth,https://open.spotify.com/artist/1Dt7cfRzxM8qPVa82jX9y5,a1d69fd9-0096-4a60-b277-de34e5a77fca,NO,step16_fallback_none,Radix Malorum,1.0,10.0,1.0
Gorguts,https://open.spotify.com/artist/0Q4ioaeWOOlKFVPNdFvp9q,a95ef44c-aeda-4222-9d57-10b28240e634,CA,step16_fallback_none,Stiff and Cold,1.0,10.0,1.0
Graeme Cornies,https://open.spotify.com/artist/1nXMeHgGCY78JExdRTJnFo,3df212e2-e0ab-463f-9230-3397470d3e5c,CA,step16_fallback_none,I'm My Own Master Now - Platinum Mix,1.0,7.0,1.0
Grand Cadaver,https://open.spotify.com/artist/6K520oxrZlHZC5MSALzFZC,54c4e328-0952-4a77-8421-f3d5f00e41d5,SE,step16_fallback_none,The Rot Beneath,1.0,10.0,1.0
Grausamkeit,https://open.spotify.com/artist/6GtIqqunAAFvuvCz93M3cy,1105d9f4-311d-41b4-b8ce-5bab625bf9d4,DE,step16_fallback_none,Krätze,1.0,10.0,1.0
Grave,https://open.spotify.com/artist/28imYdYhi5ieRXvgYwiIdi,13991835-5e66-4fdd-aad3-211e8129c599,SE,step16_fallback_none,Into the Grave,1.0,10.0,1.0
Graveworm,https://open.spotify.com/artist/4XJZ7zUJzQuayqyAVJowKX,ad3eb8ea-f541-4e3a-b550-7900bdc4992b,IT,step16_fallback_none,Hateful Design,1.0,10.0,1.0
Grenadier,https://open.spotify.com/artist/5sI3MQaK1M0ntuZjkkYOWL,944f74d3-be5e-4e41-a6d9-b58ebeb44177,CA,step16_fallback_none,The Swine of Mount Cashel,1.0,10.0,1.0
Grim Reaper,https://open.spotify.com/artist/3CSQtK60sg2jNNxnpThSN1,f7ec5e27-6709-416b-8992-ae7ecc180739,GB,step16_fallback_none,See You In Hell,1.0,10.0,1.0
Grotesque,https://open.spotify.com/artist/4F6DdD2yX0gyldHYZX07yJ,e420c46a-2bd4-4939-a0c3-b4b10422d726,SE,step16_fallback_none,Submit to Death,1.0,10.0,1.0
Guidance Of Sin,https://open.spotify.com/artist/3vmUeSZWfnCbLbVWeo1ux4,e412ec77-f786-4cb1-a8ef-ac2f6aeee4a5,SE,step16_fallback_none,Nosferatu's Head,1.0,10.0,1.0
Gåte,https://open.spotify.com/artist/3YxkGgMvqCQA75aFpy6524,0e70c5ac-f0a7-4089-8541-7fdd1355487e,NO,step16_fallback_none,Ulveham,1.0,10.0,1.0
Hallatar,https://open.spotify.com/artist/5ztihvnD5Rio6dt2brPQEl,7f0d27cb-d636-40c3-a92d-cd44e880658e,FI,step16_fallback_none,Dreams Burn Down,1.0,9.0,1.0
Hallows Eve,https://open.spotify.com/artist/4XqiDTxnoF69TkqNrNS1Rd,ec1d1ff8-26a7-4e8f-bbad-d34574b2e306,US,step16_fallback_none,Plunging to Megadeath,1.0,10.0,1.0
Harakiri for the Sky,https://open.spotify.com/artist/58KBq6qkQnfWYRqCjffQQq,75210e6c-96d1-445e-ac95-6fa06c09e9d5,AT,step16_fallback_none,Street Spirit (Fade Out),1.0,10.0,1.0
Harlott,https://open.spotify.com/artist/55P952flfiJs68ellyqFHU,188eb746-1f1c-4e1d-87c6-10a957c3b2bc,AU,step16_fallback_none,First World Solutions,1.0,10.0,1.0
Hatchet,https://open.spotify.com/artist/1VhsM93s5cZmM6dd9DRbga,cc08209b-f9f0-43ee-868b-d3f4299c3504,US,step16_fallback_none,Silenced By Death,1.0,10.0,1.0
Hate Eternal,https://open.spotify.com/artist/4Ru4H8nvpjbqHFStsJJcHV,5c9e111d-579e-4eb3-a6e4-51e223635ee0,US,step16_fallback_none,Behold Judas,1.0,10.0,1.0
Hatebreed,https://open.spotify.com/artist/17Mb968quDHpjCkIyq30QV,40b7efb7-1268-4a80-b354-600afdcbe9e2,US,step16_fallback_none,Looking Down the Barrel of Today,1.0,10.0,1.0
Havok,https://open.spotify.com/artist/2jw4wgixxa20jls9N3Bdpq,c4f35f4b-0716-463b-b3f2-40feede7b2e1,US,step16_fallback_none,Prepare For Attack,1.0,10.0,1.0
Havukruunu,https://open.spotify.com/artist/2ccokPZoXdXaj4yiZqMxIJ,7f297ac5-95ee-40f2-8854-1fc8117bd4f4,FI,step16_fallback_none,Tavastland,1.0,10.0,1.0
Hearse,https://open.spotify.com/artist/1rZLVPXNr17E7cW2kzHfU6,7c3535d8-4a77-4f8d-b463-8fb1ec9433e4,SE,step16_fallback_none,Cambodia,1.0,10.0,1.0
Heathen,https://open.spotify.com/artist/3VD3oXiELCSHXzR4XXnlaF,dfbfe956-7719-4cd6-b4db-b9c22657c925,US,step16_fallback_none,Empire of the Blind,1.0,10.0,1.0
